team;home_team;home_goals;away_goals;away_team;game_type;year
Brazil;Brazil;0;3;Netherlands;3rd place;2014
Brazil;Brazil;1;7;Germany;semifinal;2014
Brazil;Brazil;2;1;Colombia;quaterfinal;2014
Brazil;Brazil;1;1;Chile;round of 16 ;2014
Brazil;Brazil;4;1;Cameroon;group A ;2014
Brazil;Brazil;0;0;Mexico;group A ;2014
Brazil;Brazil;3;1;Croatia;group A ;2014
Brazil;Brazil;1;2;Netherlands;quaterfinal;2010
Brazil;Brazil;3;0;Chile;round of 16 ;2010
Brazil;Brazil;0;0;Portugal;group G ;2010
Brazil;Brazil;3;1;C™te d'Ivoire;group G ;2010
Brazil;Brazil;2;1;North Korea;group G ;2010
Brazil;Brazil;0;1;France;quaterfinal;2006
Brazil;Brazil;3;0;Ghana;round of 16 ;2006
Brazil;Brazil;4;1;Japan;group F ;2006
Brazil;Australia;0;2;Brazil;group F ;2006
Brazil;Brazil;1;0;Croatia;group F ;2006
Brazil;Brazil;2;0;Germany;final;2002
Brazil;Brazil;1;0;Turkey;semifinal;2002
Brazil;Brazil;2;1;England;quaterfinal;2002
Brazil;Belgium;0;2;Brazil;round of 16 ;2002
Brazil;Brazil;5;2;Costa Rica;group C ;2002
Brazil;Brazil;4;0;China;group C ;2002
Brazil;Brazil;2;1;Turkey;group C ;2002
Brazil;Brazil;0;3;France;final;1998
Brazil;Brazil;1;1;Netherlands;semifinal;1998
Brazil;Brazil;3;2;Denmark;quaterfinal;1998
Brazil;Brazil;4;1;Chile;round of 16 ;1998
Brazil;Brazil;1;2;Norway;group A ;1998
Brazil;Brazil;3;0;Morocco;group A ;1998
Brazil;Brazil;2;1;Scotland;group A ;1998
Brazil;Brazil;0;0;Italy;final;1994
Brazil;Brazil;1;0;Sweden;semifinal;1994
Brazil;Brazil;3;2;Netherlands;quaterfinal;1994
Brazil;Brazil;1;0;United States;round of 16 ;1994
Brazil;Brazil;1;1;Sweden;group B ;1994
Brazil;Brazil;3;0;Cameroon;group B ;1994
Brazil;Brazil;2;0;Russia;group B ;1994
Brazil;Argentina;1;0;Brazil;round of 16 ;1990
Brazil;Brazil;1;0;Scotland;group C ;1990
Brazil;Brazil;1;0;Costa Rica;group C ;1990
Brazil;Brazil;2;1;Sweden;group C ;1990
Brazil;Brazil;1;1;France;quaterfinal;1986
Brazil;Brazil;4;0;Poland;round of 16 ;1986
Brazil;Brazil;3;0;Northern Ireland;group D ;1986
Brazil;Algeria;0;1;Brazil;group D ;1986
Brazil;Brazil;1;0;Spain;group D ;1986
Brazil;Brazil;2;3;Italy;group C ;1982
Brazil;Argentina;1;3;Brazil;group C ;1982
Brazil;Brazil;4;0;New Zealand;group 6;1982
Brazil;Brazil;4;1;Scotland;group 6;1982
Brazil;Brazil;2;1;U.S.S.R.;group 6;1982
Brazil;Brazil;2;1;Italy;;1978
Brazil;Brazil;3;1;Poland;group B ;1978
Brazil;Argentina;0;0;Brazil;group B ;1978
Brazil;Brazil;3;0;Peru;group B ;1978
Brazil;Austria;0;1;Brazil;group 3;1978
Brazil;Brazil;0;0;Spain;group 3;1978
Brazil;Brazil;1;1;Sweden;group 3;1978
Brazil;Brazil;0;1;Poland;;1974
Brazil;Brazil;0;2;Netherlands;group A ;1974
Brazil;Argentina;1;2;Brazil;group A ;1974
Brazil;Brazil;1;0;East Germany;group A ;1974
Brazil;Brazil;3;0;Zaire;;1974
Brazil;Brazil;0;0;Scotland;;1974
Brazil;Brazil;0;0;Yugoslavia;;1974
Brazil;Brazil;4;1;Italy;final;1970
Brazil;Brazil;3;1;Uruguay;semifinal;1970
Brazil;Brazil;4;2;Peru;quaterfinal;1970
Brazil;Brazil;3;2;Romania;group 3;1970
Brazil;Brazil;1;0;England;group 3;1970
Brazil;Brazil;4;1;Czechoslovakia;group 3;1970
Brazil;Brazil;1;3;Portugal;group 3;1966
Brazil;Brazil;1;3;Hungary;group 3;1966
Brazil;Brazil;2;0;Bulgaria;group 3;1966
Brazil;Brazil;3;1;Czechoslovakia;final;1962
Brazil;Brazil;4;2;Chile;semifinal;1962
Brazil;Brazil;3;1;England;quaterfinal;1962
Brazil;Brazil;2;1;Spain;group 3;1962
Brazil;Brazil;0;0;Czechoslovakia;group 3;1962
Brazil;Brazil;2;0;Mexico;group 3;1962
Brazil;Brazil;5;2;Sweden;final;1958
Brazil;Brazil;5;2;France;semifinal;1958
Brazil;Brazil;1;0;Wales;quaterfinal;1958
Brazil;Brazil;2;0;U.S.S.R.;group 4;1958
Brazil;Brazil;0;0;England;group 4;1958
Brazil;Austria;0;3;Brazil;group 4;1958
Brazil;Brazil;2;4;Hungary;quaterfinal;1954
Brazil;Brazil;1;1;Yugoslavia;group 1;1954
Brazil;Brazil;5;0;Mexico;group 1;1954
Brazil;Brazil;1;2;Uruguay;;1950
Brazil;Brazil;6;1;Spain;;1950
Brazil;Brazil;7;1;Sweden;;1950
Brazil;Brazil;2;0;Yugoslavia;group 1;1950
Brazil;Brazil;2;2;Switzerland;group 1;1950
Brazil;Brazil;4;0;Mexico;group 1;1950
Brazil;Brazil;4;2;Sweden;;1938
Brazil;Brazil;1;2;Italy;;1938
Brazil;Brazil;2;1;Czechoslovakia;;1938
Brazil;Brazil;1;1;Czechoslovakia;;1938
Brazil;Brazil;6;5;Poland;;1938
Brazil;Brazil;1;3;Spain;group 1;1934
Brazil;Bolivia;0;4;Brazil;group 2;1930
Brazil;Brazil;1;2;Yugoslavia;group 2;1930
Argentinia;Argentina;0;1;Germany;final;2014
Argentinia;Argentina;0;0;Netherlands;semifinal;2014
Argentinia;Argentina;1;0;Belgium;quaterfinal;2014
Argentinia;Argentina;1;0;Switzerland;round of 16 ;2014
Argentinia;Argentina;3;2;Nigeria;group F ;2014
Argentinia;Argentina;1;0;Iran;group F ;2014
Argentinia;Argentina;2;1;Bosnia and Herzegovina;group F ;2014
Argentinia;Argentina;0;4;Germany;quaterfinal;2010
Argentinia;Argentina;3;1;Mexico;round of 16 ;2010
Argentinia;Argentina;2;0;Greece;group B ;2010
Argentinia;Argentina;4;1;South Korea;group B ;2010
Argentinia;Argentina;1;0;Nigeria;group B ;2010
Argentinia;Argentina;1;1;Germany;quaterfinal;2006
Argentinia;Argentina;2;1;Mexico;round of 16 ;2006
Argentinia;Argentina;0;0;Netherlands;group C ;2006
Argentinia;Argentina;6;0;Serbia and Montenegro;group C ;2006
Argentinia;Argentina;2;1;C™te d'Ivoire;group C ;2006
Argentinia;Argentina;1;1;Sweden;group F ;2002
Argentinia;Argentina;0;1;England;group F ;2002
Argentinia;Argentina;1;0;Nigeria;group F ;2002
Argentinia;Argentina;1;2;Netherlands;quaterfinal;1998
Argentinia;Argentina;2;2;England;round of 16 ;1998
Argentinia;Argentina;1;0;Croatia;group H ;1998
Argentinia;Argentina;5;0;Jamaica;group H ;1998
Argentinia;Argentina;1;0;Japan;group H ;1998
Argentinia;Argentina;2;3;Romania;round of 16 ;1994
Argentinia;Argentina;0;2;Bulgaria;group D ;1994
Argentinia;Argentina;2;1;Nigeria;group D ;1994
Argentinia;Argentina;4;0;Greece;group D ;1994
Argentinia;Argentina;0;1;Germany;final;1990
Argentinia;Argentina;1;1;Italy;semifinal;1990
Argentinia;Argentina;0;0;Yugoslavia;quaterfinal;1990
Argentinia;Argentina;1;0;Brazil;round of 16 ;1990
Argentinia;Argentina;1;1;Romania;group B ;1990
Argentinia;Argentina;2;0;U.S.S.R.;group B ;1990
Argentinia;Argentina;0;1;Cameroon;group B ;1990
Argentinia;Argentina;3;2;Germany;final;1986
Argentinia;Argentina;2;0;Belgium;semifinal;1986
Argentinia;Argentina;2;1;England;quaterfinal;1986
Argentinia;Argentina;1;0;Uruguay;round of 16 ;1986
Argentinia;Argentina;2;0;Bulgaria;group A ;1986
Argentinia;Argentina;1;1;Italy;group A ;1986
Argentinia;Argentina;3;1;South Korea;group A ;1986
Argentinia;Argentina;1;3;Brazil;group C ;1982
Argentinia;Argentina;1;2;Italy;group C ;1982
Argentinia;Argentina;2;0;El Salvador;group 3;1982
Argentinia;Argentina;4;1;Hungary;group 3;1982
Argentinia;Argentina;0;1;Belgium;group 3;1982
Argentinia;Argentina;3;1;Netherlands;final;1978
Argentinia;Argentina;6;0;Peru;group B ;1978
Argentinia;Argentina;0;0;Brazil;group B ;1978
Argentinia;Argentina;2;0;Poland;group B ;1978
Argentinia;Argentina;0;1;Italy;group 1;1978
Argentinia;Argentina;2;1;France;group 1;1978
Argentinia;Argentina;2;1;Hungary;group 1;1978
Argentinia;Argentina;1;1;East Germany;group A ;1974
Argentinia;Argentina;1;2;Brazil;group A ;1974
Argentinia;Argentina;0;4;Netherlands;group A ;1974
Argentinia;Argentina;4;1;Haiti;;1974
Argentinia;Argentina;1;1;Italy;;1974
Argentinia;Argentina;2;3;Poland;;1974
Argentinia;Argentina;0;1;England;quaterfinal;1966
Argentinia;Argentina;2;0;Switzerland;group 2;1966
Argentinia;Argentina;0;0;Germany;group 2;1966
Argentinia;Argentina;2;1;Spain;group 2;1966
Argentinia;Argentina;0;0;Hungary;group 4;1962
Argentinia;Argentina;1;3;England;group 4;1962
Argentinia;Argentina;1;0;Bulgaria;group 4;1962
Argentinia;Argentina;1;6;Czechoslovakia;group 1;1958
Argentinia;Argentina;3;1;Northern Ireland;group 1;1958
Argentinia;Argentina;1;3;Germany;group 1;1958
Argentinia;Argentina;2;3;Sweden;group 1;1934
Argentinia;Argentina;2;4;Uruguay;final;1930
Argentinia;Argentina;6;1;United States;semifinal;1930
Argentinia;Argentina;3;1;Chile;group 1;1930
Argentinia;Argentina;6;3;Mexico;group 1;1930
Argentinia;Argentina;1;0;France;group 1;1930
Russia;Algeria;1;1;Russia;group H ;2014
Russia;Belgium;1;0;Russia;group H ;2014
Russia;Russia;1;1;South Korea;group H ;2014
Russia;Belgium;3;2;Russia;group H ;2002
Russia;Japan;1;0;Russia;group H ;2002
Russia;Russia;2;0;Tunisia;group H ;2002
Russia;Cameroon;1;6;Russia;group B ;1994
Russia;Russia;1;2;Sweden;group B ;1994
Russia;Brazil;2;0;Russia;group B ;1994
Spain;Australia;0;3;Spain;group B ;2014
Spain;Chile;2;0;Spain;group B ;2014
Spain;Netherlands;5;1;Spain;group B ;2014
Spain;Netherlands;0;1;Spain;final;2010
Spain;Germany;0;1;Spain;semifinal;2010
Spain;Paraguay;0;1;Spain;quaterfinal;2010
Spain;Portugal;0;1;Spain;round of 16 ;2010
Spain;Chile;1;2;Spain;group H ;2010
Spain;Honduras;0;2;Spain;group H ;2010
Spain;Spain;0;1;Switzerland;group H ;2010
Spain;France;3;1;Spain;round of 16 ;2006
Spain;Saudi Arabia;0;1;Spain;group H ;2006
Spain;Spain;3;1;Tunisia;group H ;2006
Spain;Spain;4;0;Ukraine;group H ;2006
Spain;South Korea;0;0;Spain;quaterfinal;2002
Spain;Republic of Ireland;1;1;Spain;round of 16 ;2002
Spain;South Africa;2;3;Spain;group B ;2002
Spain;Paraguay;1;3;Spain;group B ;2002
Spain;Slovenia;1;3;Spain;group B ;2002
Spain;Bulgaria;1;6;Spain;group D ;1998
Spain;Paraguay;0;0;Spain;group D ;1998
Spain;Nigeria;3;2;Spain;group D ;1998
Spain;Italy;2;1;Spain;quaterfinal;1994
Spain;Spain;3;0;Switzerland;round of 16 ;1994
Spain;Bolivia;1;3;Spain;group C ;1994
Spain;Germany;1;1;Spain;group C ;1994
Spain;South Korea;2;2;Spain;group C ;1994
Spain;Spain;1;2;Yugoslavia;round of 16 ;1990
Spain;Belgium;1;2;Spain;group E ;1990
Spain;South Korea;1;3;Spain;group E ;1990
Spain;Spain;0;0;Uruguay;group E ;1990
Spain;Belgium;1;1;Spain;quaterfinal;1986
Spain;Denmark;1;5;Spain;round of 16 ;1986
Spain;Algeria;0;3;Spain;group D ;1986
Spain;Northern Ireland;1;2;Spain;group D ;1986
Spain;Brazil;1;0;Spain;group D ;1986
Spain;England;0;0;Spain;group B ;1982
Spain;Germany;2;1;Spain;group B ;1982
Spain;Northern Ireland;1;0;Spain;group 5;1982
Spain;Spain;2;1;Yugoslavia;group 5;1982
Spain;Honduras;1;1;Spain;group 5;1982
Spain;Spain;1;0;Sweden;group 3;1978
Spain;Brazil;0;0;Spain;group 3;1978
Spain;Austria;2;1;Spain;group 3;1978
Spain;Germany;2;1;Spain;group 2;1966
Spain;Spain;2;1;Switzerland;group 2;1966
Spain;Argentina;2;1;Spain;group 2;1966
Spain;Brazil;2;1;Spain;group 3;1962
Spain;Mexico;0;1;Spain;group 3;1962
Spain;Czechoslovakia;1;0;Spain;group 3;1962
Spain;Spain;1;3;Sweden;;1950
Spain;Brazil;6;1;Spain;;1950
Spain;Spain;2;2;Uruguay;;1950
Spain;England;0;1;Spain;group 2;1950
Spain;Chile;0;2;Spain;group 2;1950
Spain;Spain;3;1;United States;group 2;1950
